I,Q
0.044844472,0.065972122
0.020962585,0.052309986
-0.012141243,0.047677874
-0.054622928,0.049782579
-0.103897193,0.054638242
-0.152201427,0.057520455
-0.186513518,0.053461098
-0.192182407,0.037940575
-0.159420656,0.008384019
-0.089665787,-0.033738689
0.001877874,-0.081410207
0.089817007,-0.122747935
0.147643102,-0.144716079
0.15870618,-0.139027167
0.124098865,-0.107650495
0.063506762,-0.064678852
0.008156829,-0.032417494
-0.011383557,-0.032210866
0.022578699,-0.073511275
0.107765509,-0.146401517
0.2227512,-0.222037078
0.335048222,-0.262264534
0.412862837,-0.23531643
0.435788641,-0.131070464
0.400648534,0.03126294
0.321011677,0.207384879
0.22138798,0.343316768
0.12870335,0.39603062
0.063995426,0.350619761
0.036624514,0.226469336
0.042264766,0.069537168
0.06498497,-0.066050074
0.082934571,-0.139156195
0.076354683,-0.13648032
0.035761162,-0.074998267
-0.032520879,0.008393692
-0.10617243,0.074697784
-0.153357492,0.099662594
-0.144621449,0.082134353
-0.066174823,0.040755996
0.071083568,0.0015192
0.231671419,-0.017097068
0.366276077,-0.013837171
0.429954177,-0.004520723
0.400649235,-0.01239312
0.289880015,-0.054108739
0.140232062,-0.12866577
0.00988965,-0.215181994
-0.049650333,-0.281071831
-0.013227437,-0.297041955
0.109383739,-0.251825712
0.279297984,-0.159409732
0.445500258,-0.054803277
0.564750992,0.020315602
0.615353843,0.035892476
0.599371178,-0.012604753
0.534017441,-0.101367878
0.438338726,-0.188369003
0.323094186,-0.232348799
0.189158351,-0.21224982
0.034345037,-0.137988909
-0.136571309,-0.046978755
-0.305778206,0.012837489
-0.445062248,0.006243086
-0.526641333,-0.070411541
-0.536522306,-0.184213909
-0.482727565,-0.278119601
-0.393169122,-0.296351429
-0.303542824,-0.211722604
-0.241252177,-0.041963943
-0.213818372,0.153716098
-0.207987323,0.297902891
-0.19993605,0.328676756
-0.170800985,0.228624444
-0.118693518,0.035155335
-0.060251776,-0.173926265
-0.02066683,-0.314183127
-0.017779756,-0.332611375
-0.049504668,-0.23205489
-0.092309325,-0.069692207
-0.11246337,0.070619261
-0.084495317,0.119490402
-0.006847165,0.05668636
0.094301775,-0.078326807
0.175989943,-0.206352696
0.199169825,-0.25015685
0.148567699,-0.177489507
0.041163276,-0.023138355
-0.081499778,0.122946229
-0.173472874,0.157880088
-0.206653608,0.019103897
-0.183528427,-0.277584366
-0.133776893,-0.635571219
-0.096663652,-0.914413834
-0.098712101,-0.990824287
-0.138660847,-0.815590861
-0.187790057,-0.439058954
-0.205467711,0.008033581
-0.161630911,0.37047176
-0.054241514,0.535545863
0.087526934,0.479810087
0.216020386,0.2738968
0.287052942,0.043888615
0.279732182,-0.091285676
0.204283108,-0.075647954
0.094615448,0.06166858
-0.009543207,0.227522651
-0.080988992,0.317010207
-0.114372408,0.269413778
-0.122635095,0.099214499
-0.124104391,-0.113107443
-0.128839454,-0.264805066
-0.132696463,-0.28573273
-0.122491262,-0.175544092
-0.088620522,-0.003967886
-0.036678537,0.125674662
0.010160621,0.130435851
0.020966386,-0.00897193
-0.025306052,-0.237883509
-0.123992106,-0.455315169
-0.2403705,-0.564731153
-0.320967341,-0.521392177
-0.316488617,-0.35199232
-0.205810993,-0.137195232
-0.009148671,0.032749371
0.216708395,0.105233902
0.399676044,0.09030846
0.480834413,0.050704699
0.437363197,0.062973177
0.290068175,0.171252369
0.09302296,0.358986478
-0.088980038,0.554172784
-0.204567212,0.665710138
-0.231392089,0.631740836
-0.178230905,0.454360364
-0.075337441,0.202115842
0.040344832,-0.02145133
0.137770156,-0.12724255
0.197898518,-0.082733672
0.213608126,0.074576009
0.18690278,0.258806869
0.127053702,0.380723317
0.050776796,0.392606157
-0.017600874,0.30995818
-0.049380427,0.199429748
-0.019901923,0.140025597
0.079878357,0.17837921
0.234159892,0.30164736
0.401664968,0.442161347
0.526743008,0.511435681
0.559622177,0.4460769
0.47780808,0.242193541
0.298663576,-0.039107017
0.076199082,-0.297938124
-0.118008166,-0.440675756
-0.222310301,-0.421975541
-0.20906361,-0.263896386
-0.094590064,-0.043788045
0.069355796,0.142332602
0.218504945,0.22300973
0.302725789,0.181108606
0.304353027,0.057368887
0.240495402,-0.072229408
0.149516429,-0.133419903
0.06936997,-0.087506731
0.018912808,0.052562864
-0.008828655,0.229603469
-0.038916049,0.368154856
-0.097163651,0.406683703
-0.192740923,0.322313543
-0.309940713,0.138797014
-0.413426237,-0.08395552
-0.46434579,-0.273222958
-0.439256857,-0.369972543
-0.342455644,-0.348748227
-0.205589301,-0.224550133
-0.074606731,-0.045346001
0.009866792,0.126289608
0.029617561,0.235623293
-0.004421174,0.254504947
-0.058712789,0.190008028
-0.093740747,0.079992984
-0.082968025,-0.022824632
-0.025423443,-0.072403711
0.053838646,-0.048137895
0.115666559,0.036884582
0.125800543,0.141909212
0.072340359,0.216637515
-0.026409567,0.223706903
-0.127771922,0.155367346
-0.182316359,0.036411172
-0.156027807,-0.088350449
-0.047341532,-0.176265555
0.108979217,-0.207803289
0.253869063,-0.195584164
0.327791968,-0.176447983
0.296748134,-0.190156871
0.169139556,-0.255562018
-0.004612069,-0.356988905
-0.150733584,-0.44887064
-0.202037705,-0.477395329
-0.126640704,-0.408790419
0.057222996,-0.249704148
0.28741633,-0.048430366
0.48313817,0.124905248
0.578487086,0.210271269
0.549502382,0.186201747
0.42243013,0.08039529
0.259406084,-0.043375146
0.128266358,-0.116051665
0.070807961,-0.096788101
0.084720129,0.007366611
0.127918419,0.14531143
0.143087116,0.247260579
0.090145793,0.258969275
-0.029845357,0.167934913
-0.171863906,0.008966157
-0.267341396,-0.153042252
-0.258243836,-0.254088007
-0.128037333,-0.26043097
0.086172941,-0.182509341
0.307050623,-0.067765779
0.450160961,0.022832096
0.461171182,0.042486496
0.339316218,-0.022427356
0.136018489,-0.149480334
-0.070249821,-0.292484951
-0.210204565,-0.401281363
-0.253316573,-0.439391317
-0.216799464,-0.393017195
-0.150867899,-0.270487805
-0.109169558,-0.095865436
-0.120436344,0.098372454
-0.176040873,0.276838507
-0.239161528,0.405529713
-0.269507272,0.457256778
-0.249284072,0.419291039
-0.195646332,0.300958135
-0.152428557,0.136133984
-0.165403404,-0.023973293
-0.254507896,-0.12805946
-0.398475669,-0.146098689
-0.540999066,-0.084669428
-0.616228657,0.013120069
-0.581070975,0.085877792
-0.437842992,0.083638468
-0.235476625,-0.004991625
-0.048255091,-0.142917418
0.057586078,-0.259178103
0.053005669,-0.283173524
-0.043025459,-0.182579918
-0.17571863,0.014555794
-0.282794662,0.226625137
-0.324275176,0.353360599
-0.298928738,0.323441083
-0.239930494,0.13176256
-0.193177819,-0.152942143
-0.190422449,-0.415649644
-0.231536648,-0.546010045
-0.284944425,-0.488945656
-0.305490728,-0.270590686
-0.259958697,0.013159055
-0.146705073,0.240197354
0.000802216,0.317077322
0.128333216,0.219208699
0.185850908,-0.001995488
0.150687156,-0.246947119
0.037812068,-0.415719697
-0.107238898,-0.452056336
-0.228693932,-0.363020292
-0.28400507,-0.207069012
-0.259566028,-0.059430921
-0.172344477,0.025794729
-0.058267206,0.037502782
0.045703415,0.004156649
0.116726783,-0.030062398
0.151885313,-0.034211373
0.163445298,-0.007907252
0.167730066,0.021886268
0.17437438,0.021227299
0.18161365,-0.026353927
0.17938976,-0.106212851
0.157692287,-0.177886761
0.114973772,-0.196248852
0.061812837,-0.136274249
0.017791668,-0.007213929
0.00316176,0.151819411
0.029421495,0.292166998
0.093276165,0.380164577
0.17665332,0.412043146
0.252582958,0.411107097
0.294266025,0.409468326
0.283614884,0.425573201
0.216207696,0.451162031
0.101408872,0.455756264
-0.041586583,0.406435333
-0.189689662,0.291460357
-0.321485387,0.133548646
-0.420795698,-0.015996339
-0.477797062,-0.100450491
-0.488353035,-0.086315586
-0.452789986,0.018020179
-0.37521697,0.164228103
-0.263796376,0.286379644
-0.13146313,0.332510336
0.004077215,0.289137145
0.122273064,0.186048486
0.204020535,0.079068748
0.237453725,0.020095098
0.223065425,0.030291691
0.17547251,0.090418722
0.119931501,0.152981756
0.083770265,0.169266318
0.085466128,0.116595904
0.125916435,0.011343302
0.186359175,-0.098950498
0.235023552,-0.159879536
0.240697729,-0.137984976
0.187738689,-0.037745455
0.085559361,0.10050356
-0.032577854,0.219901343
-0.122013204,0.273221774
-0.145510523,0.242702545
-0.090028335,0.144565531
0.02661804,0.017675395
0.162828928,-0.096283492
0.27109916,-0.170407576
0.318338157,-0.199843939
0.298839809,-0.197136339
0.233662881,-0.180530738
0.157087716,-0.163003199
0.097552898,-0.147869068
0.063419946,-0.131817764
0.041307294,-0.111432748
0.007769521,-0.087615181
-0.052558037,-0.064593337
-0.133311067,-0.044624772
