I,Q
0.103759518,0.225819757
0.044476909,0.193690098
-0.058868056,0.16647469
-0.184643347,0.205512205
-0.331817073,0.193021335
-0.492771243,0.20079182
-0.602320763,0.170619887
-0.608605594,0.122277666
-0.527249179,-0.002237846
-0.300428463,-0.151660982
-0.017005828,-0.317999959
0.259910377,-0.456712461
0.453743877,-0.526235944
0.526708336,-0.479846272
0.43583113,-0.355947791
0.232308474,-0.175658507
0.070948654,-0.054691819
-0.03659884,-0.064487729
0.060934652,-0.218858622
0.324047104,-0.509452122
0.70159835,-0.754052375
1.078102827,-0.879949578
1.337965094,-0.777526166
1.468855157,-0.407222092
1.392184698,0.161528021
1.141815883,0.762301946
0.795773329,1.193396971
0.452865619,1.355775738
0.180978867,1.215861151
-0.001183025,0.782438382
0.024402044,0.242502819
0.091980095,-0.18727306
0.168330588,-0.465172749
0.211355564,-0.439779044
0.139484907,-0.250750446
-0.064996753,0.013988017
-0.256836637,0.263745027
-0.459272238,0.351463875
-0.475377235,0.293530406
-0.250834311,0.116354519
0.210500914,-0.0575299
0.724885379,-0.141198312
1.155290237,-0.121960953
1.355754021,-0.058037508
1.271834271,-0.0451973
0.912029615,-0.162983452
0.434188997,-0.342175139
-0.011157106,-0.612965803
-0.175947414,-0.856271809
-0.032120769,-0.916348062
0.392817249,-0.825081808
0.962925419,-0.56609398
1.499117967,-0.227619727
1.833587716,0.056500819
1.940171262,0.13728841
1.89215005,0.019404765
1.68982641,-0.247534247
1.404158231,-0.496752354
0.99723106,-0.619009985
0.580532713,-0.56133675
0.128236854,-0.328526496
-0.427644793,-0.031280449
-0.959063395,0.167382787
-1.446762297,0.089380854
-1.688377926,-0.241896117
-1.697868007,-0.631227116
-1.495604949,-0.956190748
-1.213491854,-1.053150584
-0.914745486,-0.783741932
-0.695586221,-0.215567718
-0.590388798,0.447440135
-0.622272401,0.909322958
-0.634485941,1.012477254
-0.651792624,0.711475439
-0.50760112,0.049683072
-0.306009226,-0.597402561
-0.190793892,-1.045107063
-0.067986575,-1.091632516
-0.127674736,-0.751724818
-0.227776674,-0.241285098
-0.254800053,0.233609389
-0.204538843,0.355652363
0.025394832,0.155616122
0.296750531,-0.28882718
0.548594126,-0.668917143
0.646065706,-0.79086587
0.502718054,-0.52567966
0.19973382,0.004083118
-0.205941275,0.481074238
-0.574749544,0.520287716
-0.75265443,0.058603467
-0.755977673,-0.93105834
-0.47242621,-1.995994672
-0.115795146,-2.406318073
-0.066081163,-2.498390741
-0.176308238,-2.366376803
-0.382739011,-1.377279484
-0.381151882,0.031292613
-0.250951975,1.135745045
-0.031510828,1.629218555
0.308602889,1.467351353
0.629739453,0.825591989
0.797374376,0.117575719
0.791043691,-0.279973875
0.597812093,-0.215393013
0.313565643,0.246405324
-0.005056089,0.76203346
-0.243759517,1.04832442
-0.409693946,0.879191448
-0.458580029,0.34152697
-0.49707728,-0.28795346
-0.503799137,-0.803144221
-0.442302715,-0.857817086
-0.356871272,-0.531741748
-0.204556473,-0.037293041
-0.059450338,0.332829878
0.052542412,0.32264949
-0.000982469,-0.122960267
-0.206698991,-0.812323696
-0.484019946,-1.424723245
-0.758076994,-1.728023727
-0.940588406,-1.605434441
-0.905309292,-1.125478807
-0.548560969,-0.516602595
0.129080548,-0.038081179
0.790402462,0.181461987
1.335200542,0.175757715
1.554063321,0.124813858
1.45293975,0.255072542
1.004246703,0.684823747
0.376041832,1.307483268
-0.263600164,1.867670012
-0.687316826,2.030786326
-0.856409472,1.944041382
-0.72183963,1.41100007
-0.422000275,0.600363499
-0.038739461,-0.160508616
0.3549859,-0.484331451
0.660997214,-0.300174297
0.766249084,0.209771134
0.708480911,0.867052039
0.480845193,1.252374119
0.176351219,1.308051892
-0.133034778,1.075935948
-0.250770721,0.700537995
-0.140916295,0.469205784
0.245837993,0.556531244
0.809284519,0.915088836
1.265364274,1.323661182
1.534297136,1.50302536
1.609862112,1.368479869
1.412003392,0.790801166
0.826494227,-0.033829823
0.11279013,-0.800267346
-0.465634816,-1.244185262
-0.706024469,-1.220662604
-0.624323612,-0.777630491
-0.217150045,-0.149457456
0.326673518,0.368455054
0.806550688,0.614376694
0.998917821,0.490484854
0.978814307,0.154373484
0.79310983,-0.2239482
0.480439505,-0.383411588
0.243953882,-0.220344535
0.112379724,0.232556475
-0.001262463,0.792011422
-0.110846039,1.216195117
-0.342566122,1.340539165
-0.709650904,1.074414108
-1.118203813,0.494900631
-1.421585198,-0.223157187
-1.530283098,-0.87397226
-1.370398147,-1.198438536
-1.069427862,-1.188272274
-0.584708876,-0.861187786
-0.147574954,-0.275217343
0.13278836,0.293470832
0.168171948,0.709972314
